Player,LR Predicted Score,RF Predicted Score,XGB Predicted Score,NN Predicted Score,Bayesian Predicted Score
Anthony Steels,-0.55,0.04,0.09,0.29,-0.56
Anthony Thomas,13.18,10.41,7.6,13.07,13.19
Anthony Thompson,2.81,0.17,0.32,0.91,2.8
Anthony Toney,9.53,8.21,8.41,5.6,9.52
Anthony Wright,-0.71,0.91,0.03,0.81,-0.67
Antoine Green,-0.81,0.02,0.0,0.38,-0.81
Antoine Wesley,-0.05,0.05,-0.04,0.65,-0.06
Antone Smith,1.81,0.06,-0.09,0.96,1.8
Antonio Andrews,1.35,0.06,-0.26,0.97,1.34
Antonio Brown,28.25,42.79,41.5,34.4,28.24
Antonio Bryant,12.4,8.03,12.79,10.9,12.41
Antonio Callaway,1.08,0.7,0.1,1.67,1.08
Antonio Chatman,2.59,1.59,0.96,3.17,2.59
Antonio Freeman,17.97,23.79,29.27,21.51,17.96
Antonio Gandy-Golden,-0.73,0.04,0.02,0.4,-0.73
Antonio Gates,32.42,46.42,37.01,46.15,32.39
Antonio Gibson,14.71,15.03,15.4,12.15,14.72
Antonio Pittman,-0.17,0.06,0.01,0.61,-0.17
Antonio Williams,0.09,0.03,0.12,0.54,0.08
Antony Auclair,-0.46,0.03,-0.04,0.49,-0.46
Antowain Smith,28.75,26.46,14.99,33.0,28.75
Antwaan Randle El,10.45,7.71,11.66,9.11,10.41
Antwuan Wyatt,-0.83,0.02,0.0,0.36,-0.84
ArDarius Stewart,-0.65,0.07,0.04,0.45,-0.65
Ara Person,-0.83,0.02,0.0,0.36,-0.84
Archie Griffin,8.21,3.15,-0.16,4.47,8.19
Archie Manning,14.21,17.97,11.59,22.77,14.53
Arian Foster,32.38,55.42,63.39,36.51,32.37
Arland Bruce,-0.83,0.02,0.0,0.36,-0.84
Arlen Harris,2.75,0.43,0.2,1.64,2.74
Armando Allen,-0.27,0.03,0.02,0.43,-0.27
Armani Rogers,-0.74,0.04,0.05,0.39,-0.75
Armanti Edwards,-0.63,0.05,0.01,0.49,-0.63
Armon Binns,-0.17,0.04,-0.04,0.79,-0.18
Armond Smith,-0.82,0.04,0.01,0.37,-0.82
Arnaz Battle,5.09,4.13,2.07,4.94,5.1
Arnold Franklin,-0.83,0.02,0.0,0.36,-0.84
Arnold Jackson,-0.39,0.03,-0.04,0.54,-0.4
Arnold Mickens,-0.83,0.02,0.0,0.36,-0.84
Arnold Morgado,6.79,0.41,0.52,2.81,6.78
Arrelious Benn,1.34,0.93,0.7,1.78,1.33
Arrike James,-0.82,0.02,0.0,0.37,-0.83
Arrington Jones,-0.72,0.02,-0.03,0.32,-0.73
Art Best,-0.6,0.07,0.14,0.27,-0.6
Art Malone,13.03,10.21,7.96,8.68,13.01
Art Monk,15.82,19.32,20.43,15.66,15.85
Art Schlichter,-0.16,0.1,-0.34,0.12,-0.13
Art Strozier,-0.79,0.02,0.0,0.38,-0.8
Artavis Pierce,-0.38,0.24,0.04,0.43,-0.38
Arthur Cox,2.3,1.2,0.83,2.8,2.3
Arthur Green,-0.72,0.03,0.11,0.39,-0.72
Arthur Marshall,2.2,5.47,2.63,2.62,2.19
Arthur Wells,-0.83,0.02,0.0,0.36,-0.84
Arthur Whittington,8.29,1.43,0.83,3.51,8.28
Artie Owens,0.49,0.08,-0.16,0.53,0.49
Artose Pinner,3.69,1.88,14.01,1.75,3.69
Asante Cleveland,-0.81,0.02,0.0,0.38,-0.81
Ashley Lelie,7.3,4.65,4.03,7.21,7.31
Ashton Dulin,0.48,0.22,0.08,1.01,0.48
Atnaf Harris,-0.81,0.02,0.0,0.38,-0.81
Aubrey Matthews,3.04,1.7,2.2,3.36,3.04
Auden Tate,1.01,0.74,1.31,2.01,1.01
Audric Estime,0.24,0.03,0.02,0.52,0.24
Aundra Thompson,1.47,1.11,2.03,1.83,1.46
Aundrae Allison,-0.28,0.05,-0.0,0.79,-0.29
Austin Carr,-0.19,0.04,-0.04,0.49,-0.2
Austin Collie,4.67,1.79,-0.39,4.28,4.66
Austin Davis,-1.13,0.03,0.09,0.62,-1.09
Austin Denney,-0.64,0.03,-0.01,0.47,-0.65
Austin Ekeler,31.68,29.35,39.43,32.61,31.67
Austin Hooper,10.02,6.86,5.94,8.77,10.02
Austin Johnson,-0.13,0.06,0.14,0.48,-0.13
Austin Mack,-0.68,0.08,0.01,0.45,-0.69
Austin Pettis,2.26,0.92,-0.29,2.62,2.25
Austin Seferian-Jenkins,3.03,0.82,-0.43,3.09,3.02
Austin Trammell,-0.64,0.03,-0.01,0.47,-0.65
Austin Traylor,-0.66,0.03,-0.01,0.46,-0.66
Austin Walter,-0.3,0.04,0.03,0.45,-0.3
Austin Wheatley,-0.83,0.02,0.0,0.36,-0.84
Autry Denson,-0.36,0.06,0.06,0.57,-0.36
Aveion Cason,2.08,0.41,0.41,1.56,2.08
Avery Williams,-0.16,0.04,0.03,0.55,-0.16
Avion Black,-0.48,0.03,-0.01,0.6,-0.48
Avon Cobourne,-0.7,0.05,0.05,0.42,-0.71
Az-Zahir Hakim,10.84,9.23,6.3,8.73,10.83
B.J. Askew,0.87,0.37,0.31,1.21,0.86
B.J. Cunningham,-0.83,0.02,0.0,0.36,-0.84
B.J. Daniels,-0.82,0.03,0.01,0.37,-0.82
B.J. Sams,-0.32,0.03,0.05,0.48,-0.32
Babe Laufenberg,-0.69,0.04,-0.28,0.26,-0.67
Bailey Zappe,-0.43,0.03,0.01,0.74,-0.41
Bake Turner,-0.45,0.03,-0.01,0.63,-0.45
Baker Mayfield,13.83,9.3,11.83,9.82,13.65
Bam Childress,-0.75,0.02,0.0,0.4,-0.76
Bam Morris,18.03,11.71,5.0,17.52,18.03
Baron Batch,-0.3,0.03,0.02,0.47,-0.31
Barry Brown,-0.63,0.03,-0.01,0.48,-0.63
Barry Foster,14.8,21.9,33.43,13.93,14.8
Barry Johnson,-0.82,0.02,0.0,0.37,-0.83
Barry Pearson,0.58,0.39,0.62,1.51,0.57
Barry Pryor,-0.83,0.02,0.0,0.36,-0.84
Barry Redden,6.14,1.88,2.51,2.73,6.14
Barry Rose,-0.83,0.02,0.0,0.36,-0.84
Barry Sanders,58.14,85.13,120.21,73.87,58.16
Barry Smith,-0.21,0.37,0.16,0.87,-0.22
Barry Stokes,-0.83,0.02,0.0,0.36,-0.84
Barry Wagner,-0.82,0.02,0.0,0.37,-0.83
Barry Word,8.65,3.81,3.02,7.17,8.65
Bart Starr,0.1,0.1,-0.11,0.43,0.15
Barty Smith,11.03,6.0,3.47,6.53,11.01
Bashir Yamini,-0.82,0.02,0.0,0.37,-0.83
Basil Mitchell,-0.64,0.14,-0.04,0.4,-0.64
Baylor Cupp,-0.82,0.02,0.0,0.37,-0.83
Beanie Wells,11.33,8.25,4.88,9.69,11.32
Bear Pascoe,0.23,0.21,0.2,1.11,0.23
Beau Almodobar,-0.83,0.02,0.0,0.36,-0.84
Beau Brinkley,-0.83,0.02,0.0,0.36,-0.84
Ben Bennett,-0.87,0.03,-0.15,0.35,-0.87
Ben Braunecker,-0.42,0.03,-0.04,0.52,-0.42
Ben Bronson,-0.83,0.02,0.0,0.36,-0.84
Ben Coates,15.68,26.25,35.08,17.05,15.67
Ben DiNucci,-1.18,0.03,0.01,0.34,-1.16
Ben Edwards,-0.81,0.02,0.0,0.38,-0.81
Ben Ellefson,-0.72,0.02,0.0,0.42,-0.73
Ben Garry,-0.54,0.04,0.09,0.3,-0.54
Ben Gay,-0.23,0.03,0.02,0.46,-0.23
Ben Hartsock,0.1,0.19,0.06,1.1,0.1
Ben Hawkins,-0.83,0.02,0.0,0.36,-0.84
Ben Koyack,-0.25,0.03,-0.04,0.69,-0.26
Ben Mason,-0.83,0.02,0.0,0.36,-0.84
Ben Nelson,-0.83,0.02,0.0,0.36,-0.84
Ben Norman,-0.83,0.02,0.0,0.36,-0.84
Ben Obomanu,2.09,2.69,2.04,2.52,2.09
Ben Patrick,0.5,0.18,0.05,1.15,0.49
Ben Roethlisberger,26.98,23.66,11.24,27.36,26.84
Ben Sims,-0.57,0.07,-0.0,0.4,-0.58
Ben Sinnott,-0.65,0.02,-0.03,0.35,-0.66
Ben Skowronek,1.08,0.9,0.68,1.72,1.08
Ben Steele,-0.68,0.08,0.01,0.45,-0.69
Ben Tate,5.45,2.7,4.78,3.48,5.46
Ben Troupe,2.33,1.03,-0.3,2.83,2.32
Ben Utecht,1.29,0.8,0.27,2.19,1.29
Ben Watson,16.0,9.93,4.64,16.15,16.0
Ben Young,-0.75,0.02,0.0,0.4,-0.76
BenJarvus Green-Ellis,20.38,11.79,12.7,20.26,20.36
Bennie Cunningham,2.51,2.04,1.33,3.32,2.51
Bennie Fowler,2.25,1.59,0.11,2.86,2.25
Bennie Joppru,-0.83,0.02,0.0,0.36,-0.84
Benny Cunningham,3.61,0.75,-0.13,2.38,3.61
Benny Malone,10.22,4.9,2.66,7.82,10.21
Benny Snell Jr.,2.98,0.53,0.79,1.29,2.97
Beno Bryant,-0.83,0.03,0.01,0.36,-0.84
Bernard Berrian,9.67,8.78,9.17,8.7,9.67
Bernard Ford,-0.37,0.04,-0.04,0.44,-0.38
Bernard Henry,-0.13,0.31,0.31,0.97,-0.14
Bernard Pierce,2.54,1.17,1.29,1.22,2.55
Bernard Quarles,-0.61,0.03,-0.18,0.38,-0.62
Bernard Reedy,-0.8,0.03,0.05,0.37,-0.81
Bernard Scott,1.89,0.22,-0.16,1.06,1.89
Bernie Kosar,4.78,11.96,11.64,9.59,5.08
Bernie Parmalee,10.8,7.16,3.31,7.56,10.8
Bert Askson,-0.77,0.02,0.0,0.4,-0.77
Bert Emanuel,12.13,7.83,8.64,10.91,12.13
Bert Jones,14.52,21.11,5.24,10.51,14.39
Bethel Johnson,0.72,0.31,0.16,1.4,0.72
Bijan Robinson,10.83,22.44,12.17,8.0,10.83
Bilal Powell,12.0,5.61,0.85,10.41,12.02
Bill Baber,-0.65,0.02,-0.03,0.35,-0.66
Bill Brooks,11.94,7.72,13.6,10.85,11.95
Bill Brown,5.68,0.47,0.68,1.65,5.67
Bill Butler,1.63,0.25,1.81,0.46,1.62
Bill Cappleman,-0.97,0.02,-0.01,0.36,-0.96
Bill Demory,-0.28,0.04,-0.06,0.33,-0.3
Bill Donckers,-0.92,0.02,-0.01,0.36,-0.92
Bill Dusenbery,-0.83,0.03,0.01,0.36,-0.84
Bill Enyart,-0.05,0.05,0.08,0.58,-0.05
Bill Houston,-0.75,0.02,0.0,0.4,-0.76
Bill Johnson,0.24,0.05,0.17,0.4,0.24
Bill Jones,-0.29,0.06,0.1,0.74,-0.3
Bill Kellar,-0.83,0.02,0.0,0.36,-0.84
Bill Kenney,9.11,10.27,9.13,9.17,9.14
Bill Larson,-0.7,0.02,0.0,0.44,-0.7
Bill Malinchak,-0.82,0.02,0.0,0.37,-0.83
Bill Munson,2.94,0.66,0.24,1.4,2.9
Bill Murrell,-0.81,0.02,0.0,0.38,-0.81
Bill Musgrave,-1.19,0.06,0.02,0.37,-1.18
Bill Nelsen,1.98,1.14,0.27,1.28,1.97
Bill Olds,3.63,0.37,0.4,1.44,3.62
Bill Rademacher,-0.78,0.02,0.0,0.39,-0.78
Bill Ring,3.51,0.27,0.03,1.5,3.51
Bill Schroeder,9.96,6.81,4.83,8.69,9.96
Bill Thomas,-0.69,0.04,-0.02,0.31,-0.7
Bill Triplett,0.11,0.04,0.03,0.3,0.11
Bill Troup,0.7,0.12,-0.61,0.45,0.73
Bill Tucker,0.87,0.12,0.03,0.46,0.87
Billy Bajema,0.33,0.2,0.14,1.22,0.32
Billy Brooks,1.05,2.3,0.87,1.66,1.04
Billy Campfield,4.6,0.96,1.06,1.64,4.59
