Player,Season,Passing Yds,Passing Tds,Rushing Yds,Rushing Tds,Receiving Yds,Receiving Tds,VBD
George Blanda,1971,378,4,0,0,0,1,0
Larry Smith,1971,0,0,404,5,31,2,0
Daryle Lamonica,1971,1717,16,16,0,0,3,0
Jeff Queen,1971,0,0,318,4,23,4,0
Pete Liske,1971,1957,11,29,1,0,5,0
Preston Pearson,1971,0,0,605,0,20,7,0
Clint Jones,1971,0,0,675,4,9,7,0
Bob Gresham,1971,0,0,383,6,17,3,0
Bob Berry,1971,2005,11,31,0,0,4,0
Cannonball Butler,1971,0,0,594,2,15,7,0
Virgil Carter,1971,1624,10,42,0,0,5,0
Walt Garrison,1971,0,0,429,1,40,6,0
Bill Nelsen,1971,2319,13,-18,0,0,10,0
Dave Osborn,1971,0,0,349,5,25,3,0
Archie Manning,1971,1164,6,172,4,1,7,0
Charlie Harraway,1971,0,0,635,2,20,3,0
Jim Nance,1971,0,0,463,5,18,2,0
Dan Pastorini,1971,1702,7,140,3,0,3,0
Bobby Douglass,1971,1164,5,284,3,0,4,0
Wendell Hayes,1971,0,0,537,1,16,1,0
Mike Montgomery,1971,80,1,226,1,28,4,0
Don Nottingham,1971,0,0,388,5,15,2,0
Don Shy,1971,23,1,420,2,19,3,0
Fair Hooker,1971,0,0,0,0,45,0,0
Ray Perkins,1971,0,0,35,0,24,0,0
Edd Hargett,1971,1191,6,24,1,0,1,0
Dennis Shaw,1971,1813,11,82,0,0,4,0
Elmo Wright,1971,0,0,-10,0,26,1,0
Jim Hart,1971,1626,8,9,0,0,2,0
Bob Davis,1971,624,10,154,1,0,3,0
Rich Houston,1971,0,0,2,0,24,0,0
Wayne Patrick,1971,0,0,332,1,36,5,0
Scott Hunter,1971,1210,7,50,4,0,7,0
Craig Morton,1971,1131,7,9,1,0,1,0
Clifton McNeil,1971,0,0,0,0,30,1,0
Harmon Wages,1971,0,0,266,1,19,2,0
Eddie Hinton,1971,0,0,56,0,25,0,0
Jim Strong,1971,0,0,404,3,16,5,0
Lance Alworth,1971,0,0,-10,0,34,0,0
Lee Bouggess,1971,0,0,262,2,24,1,0
Cid Edwards,1971,0,0,316,4,12,8,0
Charlie Evans,1971,0,0,171,5,13,2,0
Bobby Duhon,1971,0,0,344,1,25,6,0
Joe Morrison,1971,0,0,131,0,40,1,0
Ken Anderson,1971,777,5,125,1,0,5,0
Dave Hampton,1971,0,0,307,3,3,7,0
James Ford,1971,0,0,379,2,7,2,0
Clarence Davis,1971,0,0,321,2,15,2,0
Bob Wallace,1971,0,0,0,0,27,0,0
Earl Morrall,1971,1210,7,13,0,0,3,0
Morris Stroud,1971,0,0,0,0,22,0,0
Billy Masters,1971,0,0,71,0,27,1,0
Ronnie Bull,1971,15,0,351,0,9,2,0
Jerry Simmons,1971,0,0,7,0,25,0,0
Warren McVea,1971,0,0,288,3,5,1,0
Alvin Reed,1971,0,0,0,0,25,1,0
Don Highsmith,1971,0,0,307,1,10,4,0
Mercury Morris,1971,0,0,315,1,5,1,0
George Nock,1971,0,0,137,3,6,4,0
Speedy Thomas,1971,0,0,-1,0,22,1,0
Ken Burrough,1971,0,0,0,0,25,0,0
Dick Witcher,1971,0,0,0,0,18,0,0
Pete Beathard,1971,1030,6,29,0,0,2,0
Gary Cuozzo,1971,842,6,24,0,0,2,0
Mike Ditka,1971,0,0,2,0,30,0,0
Bob Klein,1971,0,0,21,0,14,0,0
Pettis Norman,1971,0,0,1,0,27,0,0
Cyril Pinder,1971,0,0,311,1,10,0,0
Gary Collins,1971,0,0,0,0,15,0,0
Eric Crabtree,1971,0,0,12,0,23,0,0
Tucker Frederickson,1971,0,0,242,0,21,1,0
Dwight Harrison,1971,0,0,36,0,19,1,0
Tom Mitchell,1971,0,0,9,0,33,0,0
Doug Dressler,1971,0,0,204,1,19,1,0
Ron Sellers,1971,0,0,0,0,14,0,0
Jim Otis,1971,0,0,184,0,13,1,0
Warren Bankston,1971,0,0,274,0,17,5,0
Tom Beer,1971,0,0,0,0,12,0,0
Jerry LeVias,1971,0,0,73,0,21,3,0
Don McCauley,1971,0,0,246,2,3,0,0
Steve Ramsey,1971,1120,5,6,0,0,2,0
Oscar Reed,1971,0,0,182,1,15,1,0
Don Herrmann,1971,0,0,0,0,27,0,0
Bill Brown,1971,0,0,136,2,10,0,0
Gloster Richardson,1971,0,0,0,0,8,0,0
Doug Cunningham,1971,0,0,98,1,19,1,0
Boyd Dowler,1971,0,0,0,0,26,1,0
J.D. Hill,1971,0,0,2,0,11,0,0
Chip Myers,1971,0,0,0,0,27,1,0
Kent Nix,1971,760,6,12,0,0,3,0
Larry Schreiber,1971,0,0,180,0,3,0,0
John Spilis,1971,0,0,0,0,14,1,0
Rocky Thompson,1971,0,0,177,1,16,5,0
Bob Newland,1971,0,0,0,0,21,0,0
Dick Shiner,1971,463,5,9,1,0,3,0
Paul Robinson,1971,0,0,213,1,8,1,0
Roy Shivers,1971,0,0,202,1,10,3,0
Tony Baker,1971,0,0,174,0,10,2,0
Drew Buie,1971,0,0,32,0,5,0,0
Leon Burns,1971,0,0,223,1,3,2,0
Al Dodd,1971,0,0,7,0,15,2,0
Bob Lee,1971,598,2,14,1,0,2,0
Joe Namath,1971,537,5,-1,0,0,0,0
Billy Truax,1971,0,0,0,0,15,0,0
Johnny Unitas,1971,942,3,5,0,0,3,0
Jerry Smith,1971,0,0,5,0,16,1,0
Zeke Bratkowski,1971,298,4,1,1,0,1,0
Harold Carmichael,1971,0,0,0,0,20,2,0
Walker Gillette,1971,0,0,0,0,10,0,0
